site,site_id,epoch,status,n_parts,parts_traced,area_ha,area_unc_ha,perimeter_m,shape_index,compactness,fractal_dim
Rajkot LF-1,RAJ-01,2026,traced,1,main,28.1377,0.5753,2876.2093,1.5296,0.4274,1.0485
Surat LF-1 (Bhatar),SUR-01,2016,traced,1,main,1.9713,0.1327,664.4641,1.335,0.5611,1.034
Surat LF-1 (Bhatar),SUR-01,2018,traced,1,main,1.8301,0.1167,581.136,1.2118,0.681,1.0145
Surat LF-1 (Bhatar),SUR-01,2020,traced,1,main,1.6241,0.1172,584.5281,1.2939,0.5973,1.0282
Surat LF-1 (Bhatar),SUR-01,2022,traced,1,main,0.823,0.0943,460.0742,1.4306,0.4886,1.0526
Surat LF-1 (Bhatar),SUR-01,2024,traced,1,main,0.4616,0.0542,271.004,1.1252,0.7898,0.9993
Surat LF-1 (Bhatar),SUR-01,2026,traced,1,main,0.4095,0.0636,321.8699,1.4188,0.4968,1.0551
Surat LF-2 (Khajod),SUR-02,2016,traced,3,a+b+c,68.7174,1.1029,5516.5208,1.8773,0.2838,1.0757
Surat LF-2 (Khajod),SUR-02,2018,traced,3,a+b+c,68.3473,1.2665,6338.1303,2.1627,0.2138,1.0968
Surat LF-2 (Khajod),SUR-02,2020,traced,2,b+c,18.976,0.535,2676.7165,1.7334,0.3328,1.0706
Surat LF-2 (Khajod),SUR-02,2022,traced,2,b+c,35.0127,1.0403,5200.1779,2.4791,0.1627,1.1233
Surat LF-2 (Khajod),SUR-02,2024,traced,2,b+c,53.5396,1.2679,6416.6351,2.4738,0.1634,1.119
Surat LF-2 (Khajod),SUR-02,2026,traced,2,b+c,31.2074,0.9361,4704.1656,2.3755,0.1772,1.1177
Vadodara LF-1,VAD-01,2016,traced,1,main,3.0217,0.148,737.3197,1.1965,0.6985,1.0114
Vadodara LF-1,VAD-01,2018,traced,1,main,3.9169,0.1618,807.6364,1.1512,0.7546,1.0038
Vadodara LF-1,VAD-01,2020,traced,1,main,8.5907,0.4286,2128.0986,2.0482,0.2384,1.105
Vadodara LF-1,VAD-01,2022,traced,1,main,10.7247,0.4648,2315.9416,1.9949,0.2513,1.0984
Vadodara LF-1,VAD-01,2024,traced,1,main,12.6877,0.4778,2361.8368,1.8705,0.2858,1.086
Vadodara LF-1,VAD-01,2026,traced,1,main,12.8757,0.4625,2289.8746,1.8002,0.3086,1.0794
Vadodara LF-2,VAD-02,2016,traced,3,a+b+main,6.9617,0.3912,1949.8631,2.0847,0.2301,1.1101
Vadodara LF-2,VAD-02,2018,traced,2,a+b+main,5.6881,0.3184,1588.8025,1.8792,0.2832,1.0932
Vadodara LF-2,VAD-02,2020,traced,1,main,3.0063,0.1351,674.9372,1.0981,0.8293,0.9947
Vadodara LF-2,VAD-02,2022,traced,2,a+b,0.7929,0.1835,910.939,2.8858,0.1201,1.2092
Vadodara LF-2,VAD-02,2024,traced,2,a+b,1.0917,0.2102,1041.6802,2.8124,0.1264,1.1964
Vadodara LF-2,VAD-02,2026,traced,2,a+b,0.7328,0.1363,677.6398,2.2331,0.2005,1.1534
Vapi LF-1,VAP-01,2016,traced,1,main,0.5263,0.0787,384.3081,1.4944,0.4478,1.0656
Vapi LF-1,VAP-01,2018,traced,1,main,0.8635,0.1021,508.9071,1.5449,0.419,1.0693
Vapi LF-1,VAP-01,2020,traced,1,main,0.948,0.0872,431.4167,1.2499,0.6401,1.0223
Vapi LF-1,VAP-01,2022,traced,1,main,1.7437,0.1562,777.1868,1.6603,0.3628,1.0791
Vapi LF-1,VAP-01,2024,traced,1,main,1.4423,0.1316,652.5198,1.5327,0.4257,1.064
Vapi LF-1,VAP-01,2026,traced,1,main,1.4031,0.1315,646.3942,1.5394,0.422,1.0651
